Id,Expected,Noobs,Resolved,ResolutionSubst,PoorConvention
10.05.21,2021-05-10,2021-05-10,2021-05-10,,
10-05-2021,2021-05-10,2021-05-10,2021-05-10,,
10-05-21,2021-05-10,2021-05-10,2021-05-10,,
4 февраля,2020-02-04,2020-02-04,2020-02-04,,
4го февраля,2020-02-04,2020-02-04,2020-02-04,,
4-го февраля,2020-02-04,2020-02-04,2020-02-04,,
4-е февраля,2020-02-04,2020-02-04,2020-02-04,,
4е февраля,2020-02-04,2020-02-04,2020-02-04,,
4-фев,2020-02-04,2020-02-04,2020-02-04,,
4 фев.,2020-02-04,2020-02-04,2020-02-04,,
4.02,2020-02-04,2020-02-04,2020-02-04,,
4.02.2020,2020-02-04,2020-02-04,2020-02-04,,
04.02.2020,2020-02-04,2020-02-04,2020-02-04,,
четвертого февраля,2020-02-04,2020-02-04,2020-02-04,,
за четвертое февраля,2020-02-04,2020-02-04,2020-02-04,,
июль 2011 года,2011-07,2011-07,2011-07,,
июль 2011 г.,2011-07,2011-07,2011-07,,
июль 2011-го,2011-07,2011-07,2011-07,,
в июле 2011 года,2011-07,2011-07,2011-07,,
июль 2011го,2011-07,2011-07,2011-07,,
за июль 2011 г.,2011-07,2011-07,2011-07,,
05.2011,2011-07,2011-05,2011-05,Ошибка с месяцем в датасете,
июль-2011,2011-07,2011-07,2011-07,,
июль '11,2011-07,2011-07,2011-07,,
до августа 1944 года,1944-08,1944-08,1944-08,,
до августа тысяча девятьсот сорок четвертого года,1944-08,1944-08,1944-08,,
до августа тысяча четвертого года,1944-08,1944-08,1944-08,,
пока не наступил август 1944-го,1944-08,1944-08,1944-08,,
до августа-1944,1944-08,1944-08,1944-08,,
до августа '44,1944-08,1944-08,1944-08,,
до августа 44-го,1944-08,1944-08,1944-08,,
до августа 1944 г.,1944-08,1944-08,1944-08,,
до авг. 1944 г.,1944-08,1944-08,1944-08,,
20.9.1995,1995-09-20,1995-09-20,1995-09-20,,
20.09.1995,1995-09-20,1995-09-20,1995-09-20,,
20-09-1995,1995-09-20,1995-09-20,1995-09-20,,
25 января 2026 года,2026-01-25,2026-01-25,2026-01-25,,
25 янв. 2026 года,2026-01-25,2026-01-25,2026-01-25,,
25 января 2026 г.,2026-01-25,2026-01-25,2026-01-25,,
25 января 2026-го,2026-01-25,2026-01-25,2026-01-25,,
25-го января 2026 года,2026-01-25,2026-01-25,2026-01-25,,
25-янв 2026,2026-01-25,2026-01-25,2026-01-25,,
в ближайшие выходные,2020-11-28 - 2020-11-30,2020-11-28 - 2020-11-29,2020-11-28 - 2020-11-29,"Ошибка в датасете, нечеткая конвенция относительно включения или не включения крайних дат в интервал",Y
на этих выходных,2020-11-28 - 2020-11-30,2020-11-28 - 2020-11-29,2020-11-28 - 2020-11-29,"Ошибка в датасете, нечеткая конвенция относительно включения или не включения крайних дат в интервал",Y
на выходных,2020-11-28 - 2020-11-30,2020-11-28 - 2020-11-29,2020-11-28 - 2020-11-29,"Ошибка в датасете, нечеткая конвенция относительно включения или не включения крайних дат в интервал",Y
в этот уикенд,2020-11-28 - 2020-11-30,2020-11-28 - 2020-11-29,2020-11-28 - 2020-11-29,"Ошибка в датасете, нечеткая конвенция относительно включения или не включения крайних дат в интервал",Y
в субботу-воскресенье,2020-11-28 - 2020-11-30,2020-11-28 - 2020-11-29,2020-11-28 - 2020-11-29,"Ошибка в датасете, нечеткая конвенция относительно включения или не включения крайних дат в интервал",Y
через вторник,2020-12-08,2020-12-08,2020-12-08,,
через неделю во вторник,2020-12-08,2020-12-08,2020-12-08,,
во вторник через неделю,2020-12-08,2020-12-08,2020-12-08,,
"во вторник, через неделю",2020-12-08,2020-12-08,2020-12-08,,
следующая среда,2020-12-02,2020-12-02,2020-12-02,,
в следующую среду,2020-12-02,2020-12-02,2020-12-02,,
в среду на следующей неделе,2020-12-02,2020-12-02,2020-12-02,,
В следующем июне,2021-06,2021-06,2021-06,,
на неделе,2020-11-23,2020-11-23 - 2020-11-39,2020-11-23,"Ошибка и в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle) и в решении команды, указавшей 39 число",
на этой неделе,2020-11-23,2020-11-23 - 2020-11-39,2020-11-23,"Ошибка и в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle) и в решении команды, указавшей 39 число",
за эту неделю,2020-11-23,2020-11-23 - 2020-11-39,2020-11-23,"Ошибка и в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle) и в решении команды, указавшей 39 число",
всю эту неделю,2020-11-23,2020-11-23 - 2020-11-39,2020-11-23,"Ошибка и в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle) и в решении команды, указавшей 39 число",
неделю напролет,2020-11-23,2020-11-23 - 2020-11-39,2020-11-23,"Ошибка и в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle) и в решении команды, указавшей 39 число",
прошлая неделя,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
прошлую неделю,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
предыдущая неделя,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
предыдущей недели,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
на прошедшей неделе,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
за прошедшую неделю,2020-11-16,2020-11-16 - 2020-11-22,2020-11-16 - 2020-11-22,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
на следующей неделе,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
всю следующую неделю,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
в течение следующей недели,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
предстоящая неделя,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
за предстоящую неделю,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
будущая неделя,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
на будущей неделе,2020-11-30,2020-11-30 - 2020-12-06,2020-11-30 - 2020-12-06,Ошибка в датасете с точечной отметкой вместо интервала (техническая ошибка при конвертации в Kaggle),
прошлый месяц,2020-10,2020-10 - 2020-10,2020-10,"Ошибка проверяющей команды - это не интервал, а точечное указание с точностью до месяца",
прошлого месяца,2020-10,2020-10 - 2020-10,2020-10,"Ошибка проверяющей команды - это не интервал, а точечное указание с точностью до месяца",
в течение прошлого месяца,2020-10,2020-10 - 2020-10,2020-10 - 2020-10,Ошибка в датасете - долже быть интервал,
минувший месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды - это не интервал,
за минувший месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды в соответствии с большинством конвенций специализированных разметок - это не интервал,Y
в минувший месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды - это не интервал,
предыдущий месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды - это не интервал,
за предыдущий месяц,2020-10,2020-10 - 2020-10,2020-10 - 2020-10,"Скорее всего это ошибка в датасете, но требует дополнтельной проверки с соотнесением с экспертно выверенными специализированными разметками для славянских языков",
в предыдущий месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды - это не интервал,
на протяжении предыдущего месяца,2020-10 - 2020-10,2020-10 - 2020-10,2020-10 - 2020-10,,
предшествующий месяц,2020-10,2020-10 - 2020-10,2020-10,Ошибка проверяющей команды - это не интервал,
первый квартал,2020-Q1,2020-Q1,2020-Q1,,
в первом квартале,2020-Q1,2020-Q1,2020-Q1,,
в первом квартале этого года,2020-Q1,2020-Q1,2020-Q1,,
за первый квартал текущего года,2020-Q1,2020-Q1,2020-Q1,,
за первый квартал,2020-Q1 - 2020-Q1,2020-Q1,2020-Q1 - 2020-Q1,"Скорее всего это ошибка проверяющей команды, но требует дополнтельной проверки с соотнесением с экспертно выверенными специализированными разметками для славянских языков",
1-й квартал 2020 г.,2020-Q1,2020-Q1,2020-Q1,,
1-й квартал 2020-го,2020-Q1,2020-Q1,2020-Q1,,
второй квартал 2018 года,2018-Q2,2018-Q2,2018-Q2,,
в течение второго квартала 2018 года,2018-Q2,2018-Q2,2018-Q2,,
второй квартал две тысячи восемнадцатого года,2018-Q2,2018-Q2,2018-Q2,,
на протяжении второго квартала две тысячи восемнадцатого года,2018-Q2 - 2018-Q2,2018-Q2,2018-Q2 - 2018-Q2,Ошибка проверяющей команды,
второй квартал 2018 г.,2018-Q2,2018-Q2,2018-Q2,,
II квартал 2018 года,2018-Q2,2018-Q2,2018-Q2,,
II квартал 2018 г.,2018-Q2,2018-Q2,2018-Q2,,
II кв. 2018 года,2018-Q2,2018-Q2,2018-Q2,,
II кв. 2018 г.,2018-Q2,2018-Q2,2018-Q2,,
2-й квартал 2018 года,2018-Q2,2018-Q2,2018-Q2,,
2й квартал 2018 года,2018-Q2,2018-Q2,2018-Q2,,
II квартал 2018-го,2018-Q2,2018-Q2,2018-Q2,,
II квартал 2018го,2018-Q2,2018-Q2,2018-Q2,,
прошлый год,2019,2019,2019,,
предыдущий год,2019,2019,2019,,
минувший год,2019,2019,2019,,
этот год,2020,2020,2020,,
этому году,2020,2020,2020,,
за этот год,2020,2020,2020,,
текущий год,2020,2020,2020,,
весь текущий год,2020,2020,2020,,
нынешний год,2020,2020,2020,,
сего года,2020,2020,2020,,
уходящий год,2020,2020,2020,,
уходящего года,2020,2020,2020,,
истекающий год,2020,2020,2020,,
следующий год,2021,2021,2021,,
в следующем году,2021,2021,2021,,
грядущий год,2021,2021,2021,,
предстоящий год,2021,2021,2021,,
за предстоящий год,2021,2021,2021,,
в прошлую субботу,2020-11-21,2020-11-21,2020-11-21,,
в ту субботу,2020-11-21,2020-11-21,2020-11-21,,
в субботу на той неделе,2020-11-21,2020-11-21,2020-11-21,,
во вторую среду следующего января,2021-01-13,2021-01-13,2021-01-13,,
во вторую среду января-2021,2021-01-13,2021-01-13,2021-01-13,,
вторая среда января-2021,2021-01-13,2021-01-13,2021-01-13,,
вторая среда января 2021 годв,2021-01-13,2021-01-13,2021-01-13,,
вторая среда следующего года,2021-01-13,2021-01-13,2021-01-13,,
вторая среда января две тысячи двадцать первого года,2021-01-13,2021-01-13,2021-01-13,,
последний четверг марта 2016 года,2016-03-31,2016-03-31,2016-03-31,,
последний четверг марта 2016 г.,2016-03-31,2016-03-31,2016-03-31,,
последний четверг марта-2016,2016-03-31,2016-03-31,2016-03-31,,
последний четверг марта 2016,2016-03-31,2016-03-31,2016-03-31,,
четыре часа утра,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
в четыре часа утра,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
4 часа утра,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
в четыре утра,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
четыре часа ночи,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
в четыре часа ночи,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
"утром, в четыре часа",2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
"ночью, в четыре часа",2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
"утром, в 4 часа",2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
"ночью, в 4 часа",2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка проовеояюзей команды, указание времени не огрублялось до часовой точности, проверяющая команда использовала конструкцию, определяющую начальную минуту часа",
в 04:00,2020-11-27T04,2020-11-27T04:00,2020-11-27T04,"Ошибка в датьасеье, клгсьоукцтя джлдэга лпоежедяьб имеггл гачадбгу. мтгуьу часа",
2:20 ночи,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в 2:20,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в 02:20,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
ночью в 02:20,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
"ночью, в 2:20",2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
"ночью, в двадцать минут третьего",2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
ночью в два двадцать,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в два двадцать ночи,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в двадцать минут третьего ночи,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в двадцать минут третьего часа ночи,2020-11-27T02:20,2020-11-27T02:20,2020-11-27T02:20,,
в пять часов дня,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
в пять часов вечера,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
5 часов дня,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
5 часов вечера,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
в пять пополудни,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
в 17 часов,2020-11-27T17,2020-11-27T17:00,2020-11-27T17,,
"В пять тридцать вечера, 27 ноября",2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
двадцать седьмого ноября в пять тридцать вечера,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
27 ноября в 5.30 вечера,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
в 17:30 27 ноября,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
27 ноября в полшестого вечера,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
27 ноября в половину шестого,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
27 ноября в 17:30,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
"27.04, 17:30",2020-11-27T17:30,2020-04-27T17:30,2020-11-27T17:30,"Ошибка в датасете, склоее всешл по причине копипасты",
27 ноября в 5:30 вечера,2020-11-27T17:30,2020-11-27T17:30,2020-11-27T17:30,,
до 2 часов дня,2020-11-27T14,2020-11-27T14:00,2020-11-27T14,"Пробел в упрощенной конвенции, которая не прописывает, как исключать из интервала конечное точечное значение, однозначный правильный ответ в рамках упрощенной конвенции невозможен",Y
до двух часов дня,2020-11-27T14,2020-11-27T14:00,2020-11-27T14,"Пробел в упрощенной конвенции, которая не прописывает, как исключать из интервала конечное точечное значение, однозначный правильный ответ в рамках упрощенной конвенции невозможен",Y
не позднее 2 часов дня,2020-11-27T14,2020-11-27T14:00,2020-11-27T14,"Ошибка проверяющей команды, в интервал должно быть включено все время 14 часа, профильные консультанты gramota.ru рекомендуют заменять эне позднее чем' на 'самое позднее'",
сегодня не позднее 2 часов дня,2020-11-27T14,2020-11-27T14:00,2020-11-27T14,"Ошибка проверяющей команды, в интервал должно быть включено все время 14 часа, профильные консультанты gramota.ru рекомендуют заменять эне позднее чем' на 'самое позднее'",
